Temperature(K),Resistance(Ohms)
9.341163090278158, 70.81013735261945
13.903466524307433, 71.41850006077539
18.465769958336693, 71.52911146225824
23.028073392365968, 72.52461407560463
27.59037682639523, 72.801142579312
32.1526802604245, 73.90725659414102
36.714983694453764, 74.46031360155621
41.277287128483025, 75.56642761638523
45.839590562512285, 75.89826182083402
50.40189399654156, 73.6307280904341
54.964197430570835, 74.90275920748763
59.52650086460011, 76.3960131275071
64.08880429862936, 77.99987844900943
68.65110773265863, 79.54843806977033
73.2134111666879, 81.20760909201431
77.77571460071715, 82.86678011425806
82.33801803474643, 84.13881123131159
86.9003214687757, 85.96389935577986
91.46262490280498, 88.72918439285309
96.02492833683422, 91.49446942992608
100.5872317708635, 94.59158867144765
105.14953520489277, 100.56460435152553
109.71183863892202, 106.53762003160341
114.27414207295129, 113.45083262428625
118.83644550698057, 121.19363072809051
123.39874894100984, 129.6000972407926
127.96105237503909, 138.3383979579437
132.52335580906836, 146.9660872736115
137.08565924309764, 154.70888537741598
141.6479626771269, 160.84781815971814
146.21026611115616, 166.32308253312272
150.77256954518543, 171.632429804303
155.3348729792147, 176.55463717029306
159.89717641324395, 182.0852072444393
164.45947984727323, 188.83250273489762
169.0217832813025, 195.13735261942406
173.58408671533178, 201.27628540172623
178.14639014936105, 206.1984927677163
182.70869358339027, 210.5123374255502
187.27099701741955, 214.05190227300386
191.83330045144882, 217.4255500182328
196.3956038854781, 221.62878327458384
200.95790731950737, 226.60629634131533
205.52021075353665, 231.8603379117542
210.08251418756592, 237.72274219034898
214.6448176215952, 243.69575787042686
219.2071210556244, 249.2816336453145
223.7694244896537, 256.3607633402214
228.33172792368296, 265.0990640573723
232.89403135771224, 274.8328673878693
237.4563347917415, 285.34095052874704
242.0186382257708, 297.2869818889026
246.58094165980006, 309.67545885499
251.14324509382928, 323.114744135165
255.5154525514407, 337.97186647071226
259.50746805621634, 353.4112070013375
263.1192916081561, 369.11065191848024
266.35092320726017, 385.5825331226454
269.0122668771106, 401.70414488878146
271.2934185941252, 417.52157530083923
273.384474334722, 433.64871763704923
275.28543409890085, 450.24042785948745
277.3764898394976, 469.1770997933638
278.76147481054215, 485.0735383493379
280.1736163496465, 503.3718244803699
281.21642856313895, 521.2529476115234
282.31898522636266, 540.4108423483656
283.45956108486996, 560.9845630241891
284.21994499054153, 583.1068433207735
285.0183480914966, 602.4859608605815
